заказ,пользователь,время_оплаты,сумма_оплаты,номер_покупки
ЗАК001,ПОЛ001,2026-09-15 12:32:00,8950.0,1
ЗАК002,ПОЛ002,2026-09-17 19:42:00,14950.0,1
ЗАК003,ПОЛ003,2026-09-18 11:22:00,6490.0,1
ЗАК004,ПОЛ004,2026-09-19 20:00:00,8950.0,1
ЗАК005,ПОЛ005,2026-09-20 18:00:00,14950.0,1
ЗАК006,ПОЛ006,2026-09-21 18:00:00,8950.0,1
ЗАК007,ПОЛ007,2026-09-21 20:00:00,9900.0,1
ЗАК008,ПОЛ008,2026-09-22 12:00:00,6490.0,1
ЗАК009,ПОЛ009,2026-09-23 17:00:00,8950.0,1
ЗАК010,ПОЛ010,2026-09-24 14:00:00,14950.0,1
ЗАК011,ПОЛ011,2026-09-16 18:00:00,6490.0,1
ЗАК012,ПОЛ011,2026-09-28 18:00:00,8950.0,2
ЗАК013,ПОЛ011,2026-10-12 18:00:00,14950.0,3
