пользователь,группа_касания,время_события,размещение,кандидат_в_атрибуцию
ПОЛ001,демо_переход_КАС001,2026-09-15 12:05:00,Размещение А-1,1
ПОЛ002,демо_переход_КАС002,2026-09-17 19:10:00,Собственный продающий пост,1
ПОЛ003,демо_переход_КАС003,2026-09-18 11:00:00,Прямой запуск,1
ПОЛ004,демо_переход_КАС004,2026-09-13 10:00:00,Размещение А-1,1
ПОЛ004,демо_переход_КАС005,2026-09-17 18:00:00,Собственный продающий пост,1
ПОЛ004,демо_переход_КАС006,2026-09-19 17:30:00,Собственный продающий пост,1
ПОЛ005,демо_переход_КАС007,2026-09-17 09:00:00,Размещение Б-1,1
ПОЛ005,демо_переход_КАС008,2026-09-19 12:00:00,Собственный продающий пост,1
ПОЛ006,демо_переход_КАС009,2026-09-11 12:00:00,Размещение А-1,1
ПОЛ006,демо_переход_КАС010,2026-09-19 10:00:00,Собственный продающий пост,1
ПОЛ007,демо_переход_КАС011,2026-09-15 10:00:00,Размещение А-1,1
ПОЛ007,демо_переход_КАС012,2026-09-17 12:00:00,Размещение Б-1,1
ПОЛ007,демо_переход_КАС013,2026-09-20 19:00:00,Собственный продающий пост,1
ПОЛ008,демо_переход_КАС014,2026-09-21 16:00:00,Размещение Б-1,1
ПОЛ010,демо_переход_КАС015,2026-09-19 14:00:00,Прямой запуск,1
ПОЛ010,демо_переход_КАС016,2026-09-23 11:00:00,Размещение Б-1,1
ПОЛ011,демо_переход_КАС017,2026-09-14 18:00:00,Размещение А-1,1
ПОЛ011,демо_переход_КАС018,2026-09-27 12:00:00,Собственный продающий пост,1
