идентификатор_события,дата_начала,дата_окончания,канал,вид,описание,качество_источника,тип_данных
история_01,2026-08-08,2026-08-09,"Поступашки — ШАД, Стажировки и Магистратура",финальная распродажа,любой курс СТАРТ за 6 490 ₽; комбо «Алгоритмы + любой курс» за 9 990 ₽; акция заявлена только на 8–9 августа,высокая,публично восстановленные
история_02,2026-08-10,2026-08-11,Поступашки и каналы сети проекта,продление распродажи и срочность,публично объявлено продление скидок до конца дня; отдельно публиковалось сообщение про финальные часы скидки,средняя,публично восстановленные
история_03,2026-08-18,2026-08-18,каналы сети проекта,реферальная программа,другу скидка 1 000 ₽; рекомендателю 1 000 ₽ после покупки; промокод «ТОВАРИЩ»; программа не действует во время распродаж,высокая для механики; средняя для охвата всей сети,публично восстановленные
история_04,2026-08-22,2026-08-23,Поступашки и каналы сети проекта,запуск новой продуктовой линейки,запуск пяти углублённых карьерных направлений; бонус записавшимся до 23 августа — курс по поиску работы за рубежом и удалённой работе,высокая для содержания; средне-высокая для точной даты главного поста,публично восстановленные
история_05,2026-08-26,2026-08-26,Алгоритмы — Собеседования,нативная продажа через образовательный контент,контент о необходимости продвинутых алгоритмов с прямым сообщением о наборе на курс ПРО,высокая,публично восстановленные
история_06,2026-08-30,2026-08-30,"Поступашки — ШАД, Стажировки и Магистратура",контент с промокодом,вебинар про ИИ-инженеров; в конце записи спрятан промокод на скидку,высокая,публично восстановленные
история_07,2026-08-31,2026-08-31,"Поступашки — ШАД, Стажировки и Магистратура",событийный контент с нативной продажей,пост об открытии отбора на стажировку в Т-Банк; разбор заданий уже доступен на курсах ПРО,высокая,публично восстановленные
история_08,2026-09-01,2026-09-01,"Поступашки — ШАД, Стажировки и Магистратура",сезонный контент с нативной продажей,обзор возможностей нового учебного года и текущих стажировок; упоминание разборов на курсах ПРО,высокая,публично восстановленные
история_09,2026-09-02,2026-09-02,"Поступашки — ШАД, Стажировки и Магистратура",событийный контент с нативной продажей,"пять причин податься на стажировку в Т-Банк; указано, что разборы размещены на карьерных курсах ПРО",высокая,публично восстановленные
история_10,2026-09-03,2026-09-03,"Поступашки — ШАД, Стажировки и Магистратура",срочность вокруг внешнего события,напоминание о скором окончании отбора в Т-Банк; разбор экзаменов уже на курсах ПРО,высокая,публично восстановленные
история_11,2026-09-05,2026-09-06,"Поступашки — ШАД, Стажировки и Магистратура",финальная распродажа,только до 6 сентября цена одного курса снижена с 14 795 ₽ до 8 950 ₽; пять направлений ПРО,высокая,публично восстановленные
история_12,2026-09-06,2026-09-06,"Поступашки — ШАД, Стажировки и Магистратура",срочность,напоминание: до завершения отбора в Т-Банк и финальной скидки остаётся 12 часов,высокая,публично восстановленные
история_13,2026-09-06,2026-09-06,"Поступашки — ШАД, Стажировки и Магистратура",нативная продажа через образовательный контент,"обзор стажировок для разработчиков с упоминанием курсов и того, что скидка заканчивается через несколько часов",высокая,публично восстановленные
история_14,2026-09-06,2026-09-06,"Поступашки — ШАД, Стажировки и Магистратура",срочность и полезный материал,"публикация материалов по собеседованиям в Т-Банк; сообщение, что до конца финальной скидки меньше четырёх часов",высокая,публично восстановленные
