показатель,значение,единица,пояснение,тип_данных
Разница конверсии,0.015,доля,синтетический причинный пример этапа 6; не исторический факт,синтетические
Нижняя граница 95% интервала,0.0048025831702337,доля,синтетический причинный пример этапа 6; не исторический факт,синтетические
Верхняя граница 95% интервала,0.0251974168297662,доля,синтетический причинный пример этапа 6; не исторический факт,синтетические
Вероятность при нулевой гипотезе,0.0039567866009765,доля,синтетический причинный пример этапа 6; не исторический факт,синтетические
Дополнительные заказы,60.0,заказы,синтетический причинный пример этапа 6; не исторический факт,синтетические
Дополнительная выручка,537000.0,рубли,синтетический причинный пример этапа 6; не исторический факт,синтетические
Окупаемость по дополнительной выручке,0.79,доля,синтетический причинный пример этапа 6; не исторический факт,синтетические
Окупаемость по дополнительной марже при сценарной марже 70%,0.253,доля,синтетический причинный пример этапа 6; не исторический факт,синтетические
Нижняя граница окупаемости по дополнительной марже,-0.5988242191798075,доля,синтетический причинный пример этапа 6; не исторический факт,синтетические
Верхняя граница окупаемости по дополнительной марже,1.104824219179807,доля,синтетический причинный пример этапа 6; не исторический факт,синтетические
Безубыточная доля маржи,0.5586592178770949,доля,синтетический причинный пример этапа 6; не исторический факт,синтетические
Безубыточный абсолютный прирост конверсии при марже 70%,0.0119712689545091,доля,синтетический причинный пример этапа 6; не исторический факт,синтетические
